Program (original),Activity (original),POE,Conveyance,Conveyance subtype,pathway type,Container_edge,Pathway,Subpathway,Notes,quantification_purpose,Activity1,Activity2,Activity3,Activity4,Activity.description,Activity.description.formula,program.subcat,land.border.passenger.program,passenger.pathway
Airport,Airport Regulated Cargo - Inspections,Airport,Aircraft,cargo,ag cargo,cargo_shipment,na,,,,Airport Regulated Cargo - Inspections,non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on cargo by air waybill (or house bill, if appropriate) specifically regulated by 7 CFR, 9 CFR, or 50 CFR. DO NOT include examinations by Non-Intrusive Inspection Technology (NII).","Record the number of physical inspections performed on cargo by air waybill (or house bill, if appropriate) specifically regulated by 7 CFR, 9 CFR, or 50 CFR. DO NOT include examinations by Non-Intrusive Inspection Technology (NII).",Cargo,N/A,N/A
Airport,Airport Soil QMIs - Baggage,Airport,Aircraft,passenger,passenger pathway,baggage,fomite,personal_effects,,interception_or_violation,Soil QMIs - Baggage,Soil QMIs,Soil QMIs,Soil QMIs,Record the number of soil interceptions from passenger and/or crew baggage.,Record the number of soil interceptions from passenger and/or crew baggage.,Passenger,N/A,Airport Passenger
Airport,Airport Soil QMIs - Cargo,Airport,Aircraft,cargo,ag cargo,cargo_shipment,fomite,container_or_conveyance,,interception_or_violation,Airport Soil QMIs - Cargo,non-passenger related,non-passenger related,non-passenger related,Record the number of soil interceptions from air cargo inspections.,Record the number of soil interceptions from air cargo inspections.,Cargo,N/A,N/A
Airport,Airport Total Pest Interceptions Submitted - Baggage,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,Total Pest Interceptions Submitted - Baggage,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Record the total number of pests intercepted and submitted for identification from air passenger/crew baggage.,Record the total number of pests intercepted and submitted for identification from air passenger/crew baggage.,Passenger,N/A,Airport Passenger
Airport,Airport Total Pest Interceptions Submitted - Cargo,Airport,Aircraft,cargo,ag cargo,cargo_shipment,na,,,,Airport Total Pest Interceptions Submitted - Cargo,non-passenger related,non-passenger related,non-passenger related,Record the total number of pests intercepted and submitted for identification from air cargo.,Record the total number of pests intercepted and submitted for identification from air cargo.,Cargo,N/A,N/A
Pre-departure,All Direct Domestic Arrival Aircraft,Airport,Aircraft,passenger,passenger pathway,conveyance,na,,,,All Direct Domestic Arrival Aircraft,non-passenger related,non-passenger related,non-passenger related,"Record the total number of all commercial, private, and military direct domestic arriving aircraft, including gas and goes.","Record the total number of all commercial, private, and military direct domestic arriving aircraft, including gas and goes.",Aircraft,N/A,N/A
Airport,All Direct Foreign Arrival Aircraft,Airport,Aircraft,passenger,passenger pathway,conveyance,na,,,,All Direct Foreign Arrival Aircraft,non-passenger related,non-passenger related,non-passenger related,"Record the total number of all commercial, private, and military direct foreign arriving aircraft, including gas and goes.  Exclude all pre-cleared flights.","Record the total number of all commercial, private, and military direct foreign arriving aircraft, including gas and goes.  Exclude all pre-cleared flights.",Aircraft,N/A,N/A
Predeparture,"Cargo Inspections from PR, HI",Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,"Cargo Inspections from PR, HI",non-passenger related,non-passenger related,non-passenger related,Record the number of physical inspections performed on cargo by bill of lading which departed Puerto Rico or Hawaii and destined to the mainland United States.,#N/A,Cargo,N/A,N/A
Airport,Commercial Cargo Aircraft Inspections,Airport,Aircraft,cargo,cargo,unspecified,na,,,,Commercial Cargo Aircraft Inspections,non-passenger related,non-passenger related,non-passenger related,"Record the number of commercial cargo aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.","Record the number of commercial cargo aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.",Cargo,N/A,N/A
Airport,Commercial Passenger Aircraft Inspections,Airport,Aircraft,passenger,passenger pathway,unspecified,na,,,,Commercial Passenger Aircraft Inspections,Total number of conveyances inspected,Total number of conveyances inspected,Total number of conveyances inspected,"Record the number of commercial passenger aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.","Record the number of commercial passenger aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.",Passenger,N/A,Airport Passenger
Pre-departure,"Departures From USVI, Total Passengers",Pre-departure,Aircraft,passenger,non-passenger pathway,baggage,na,,,,,,,Total number of people (or vehicles for vehicle pathway) arriving,Total number of people (or vehicles for vehicle pathway) arriving,,Passenger,N/A,Airport Passenger
Express Courier,Express Courier Miscellaneous Clearance,Airport,Aircraft,eco plane,eco pathway,package,na,,,,Express Courier Miscellaneous Clearance,Miscellaneous Clearance,non-passenger related,,,,Packages,N/A,
Express Courier,Express Courier Packages Inspected,Airport,Aircraft,eco plane,eco pathway,package,na,,,,Express Courier Packages Inspected,Total packages inspected,Total packages inspected,Total number of people (or vehicles for vehicle pathway) inspected,,,Packages,N/A,
Express Courier,Express Courier Pest Interceptions Submitted,Airport,Aircraft,eco plane,eco pathway,package,na,,,,Express Courier Pest Interceptions Submitted,Pest interceptions,Pest interceptions,Total Pest Interceptions Submitted,,,Packages,N/A,
Express Courier,Express Courier QMIs Avian,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Avian - Express Courier,QMIs Avian,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMIs Avian Byproduct,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Avian Byproduct - Express Courier,QMIs Avian Byproduct,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMI's Dairy,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Dairy - Express Courier,QMIs Dairy,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMIs Dairy Byproduct,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Dairy Byproduct - Express Courier,QMIs Dairy Byproduct,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMIs Hatching Eggs Seized ,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Hatching Eggs Seized - Express Courier,QMIs Hatching Eggs,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMIs Other Byproducts,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Other Byproducts - Express Courier,QMIs Other Byproducts,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMI's Other Meat,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Other Meat - Express Courier,QMIs Other Meat,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMI's Plant,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Plant - Express Courier,QMIs Plant,Plant QMIs,Plant QMIs,,,Packages,N/A,
Express Courier,Express Courier QMIs Ruminant,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Ruminant - Express Courier,QMIs Ruminant,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMIs Ruminant Byproduct,Airport,Aircraft,eco plane,eco pathway,package,na,,,,QMIs Ruminant Byproduct - Express Courier,QMIs Ruminant Byproduct,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMIs Swine,Airport,Aircraft,eco plane,eco pathway,package,swine_products_byproducts,unspecified,,interception_or_violation,QMIs Swine - Express Courier,QMIs Swine,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier QMIs Swine Byproduct,Airport,Aircraft,eco plane,eco pathway,package,swine_products_byproducts,unspecified,,interception_or_violation,QMIs Swine Byproduct - Express Courier,QMIs Swine Byproduct,Animal QMIs,Animal QMIs,,,Packages,N/A,
Express Courier,Express Courier Regulated Clearance,Airport,Aircraft,eco plane,eco pathway,package,na,,,,Regulated Clearance - Express Courier,Regulated Clearance,Regulated Clearance,Regulated Clearance,,,Packages,N/A,
Express Courier,Express Courier Soil QMIs,Airport,Aircraft,eco plane,eco pathway,package,fomite,container_or_conveyance,,interception_or_violation,Soil QMIs - Express Courier,Soil QMIs,Soil QMIs,Soil QMIs,,,Packages,N/A,
Express Courier,Express Courier Violations (Form 518),Airport,Aircraft,eco plane,eco pathway,package,na,,,,Violations Form - Express Courier,Violations,Violations,Violations,,,Packages,N/A,
Pre-departure,"Inspection, Domestic Vessels Pax/Crew",Pre-departure,Aircraft,passenger,non-passenger pathway,baggage,na,,,,,,,Total number of people (or vehicles for vehicle pathway) inspected,Total number of people (or vehicles for vehicle pathway) inspected,,Passenger,N/A,Maritime Passenger
Pre-departure,"Inspections, Domestic Air Passenger/Crew",Pre-departure,Aircraft,passenger,non-passenger pathway,baggage,na,,,,,,,Total number of people (or vehicles for vehicle pathway) inspected,Total number of people (or vehicles for vehicle pathway) inspected,,Passenger,N/A,Airport Passenger
Airport,"Inspections, Other Aircraft",Airport,Aircraft,noncommercial,passenger pathway,unspecified,na,,,,"Inspections, Other Aircraft",non-passenger related,non-passenger related,non-passenger related,"Record the number of noncommercial aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.  Include in this category private, corporate, and military aircraft.","Record the number of noncommercial aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.  Include in this category private, corporate, and military aircraft.",Aircraft,N/A,N/A
Pre-departure,"Inspections, USVI Air Passenger/Crew",Pre-departure,Aircraft,passenger,non-passenger pathway,baggage,na,,,,,,,Total number of people (or vehicles for vehicle pathway) inspected,Total number of people (or vehicles for vehicle pathway) inspected,,Passenger,N/A,Airport Passenger
Land Border,"Land Border Actual Passengers From Train, inspected",Land Border,train,unspecified,passenger pathway,baggage,na,,,,"Actual Passengers From Train, inspected",Total number of people inspected,Total number of people inspected,Total number of people (or vehicles for vehicle pathway) inspected,Record the number of train passengers inspected in secondary by agriculture.  This includes inspections by X-Ray.,Record the number of train passengers inspected in secondary by agriculture.  This includes inspections by X-Ray.,Passenger,Train,Land Border Train
Land Border,Land Border Bus Passenger/Crew Entering,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,Bus Passengers/Crew Entering,Total number of people arriving,Total number of people arriving,Total number of people (or vehicles for vehicle pathway) arriving,Record the total number of bus passengers/Crew entering at the border crossing.,Record the total number of bus passengers/Crew entering at the border crossing.,Passenger,Bus,Land Border Bus
Land Border,Land Border Buses Entering,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,conveyance,na,,,,Buses Entering,Total number of conveyances entering,Total number of conveyances entering,Total number of conveyances entering,Record the total number of COMMERCIAL BUSES entering through land border crossings.,Record the total number of COMMERCIAL BUSES entering through land border crossings.,Passenger,Bus,Land Border Bus
Land Border,Land Border Civil Penalties Passenger/Pedestrian (CBP-AI Form 591),Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,Civil Penalties Passenger/Pedestrian (CBP-AI Form 591),number of people issued civil penalties (CBP-AI Form 591),number of people issued civil penalties (CBP-AI Form 591),number of people issued civil penalties (CBP-AI Form 591),Record the number of passenger/pedestrian civil penalties issued.  This would include civil penalties issued to bus and truck drivers for having undeclared prohibited agricultural items for personal use.  Source document is CBP-AI form 591.,Record the number of passenger/pedestrian civil penalties issued.  This would include civil penalties issued to bus and truck drivers for having undeclared prohibited agricultural items for personal use.  Source document is CBP-AI form 591.,Passenger,All Land Border Passenger Pathways,Land Border All Land Border Passenger Pathways
Land Border,Land Border Freight Railcars cleaned by CBP Agriculture Specialist,Land Border,train,cargo,passenger pathway,conveyance,na,,,,Land Border Freight Railcars cleaned by CBP Agriculture Specialist,non-passenger related,non-passenger related,non-passenger related,Record the number of freight railcars cleaned by a CBP Agriculture Specialist (CBPAS).,Record the number of freight railcars cleaned by a CBP Agriculture Specialist (CBPAS).,Cargo,N/A,N/A
Land Border,Land Border Freight Railcars cleaned by Compliance Agreement,Land Border,train,cargo,passenger pathway,conveyance,na,,,,Land Border Freight Railcars cleaned by Compliance Agreement,non-passenger related,non-passenger related,non-passenger related,Record the number of freight railcars cleaned under compliance agreement.,Record the number of freight railcars cleaned under compliance agreement.,Cargo,N/A,N/A
Land Border,Land Border Freight Railcars Crossing,Land Border,train,cargo,passenger pathway,conveyance,na,,,,Land Border Freight Railcars Crossing,non-passenger related,non-passenger related,non-passenger related,Record the total number of freight railcars entering the United States.,Record the total number of freight railcars entering the United States.,Cargo,N/A,N/A
Land Border,Land Border Freight Railcars Inspected by CBPAS,Land Border,train,cargo,passenger pathway,conveyance,na,,,,Land Border Freight Railcars Inspected by CBPAS,non-passenger related,non-passenger related,non-passenger related,Record the number of freight railcars physically inspected by agriculture.  Do not include cargo.  Cargo is recorded under 1067D or 1068D.,Record the number of freight railcars physically inspected by agriculture.  Do not include cargo.  Cargo is recorded under 1067D or 1068D.,Cargo,N/A,N/A
Land Border,Land Border Freight Railcars Refused Entry,Land Border,train,cargo,passenger pathway,conveyance,na,,,,Land Border Freight Railcars Refused Entry,non-passenger related,non-passenger related,non-passenger related,Record the number of freight railcars refused entry.,Record the number of freight railcars refused entry.,Cargo,N/A,N/A
Land Border,Land Border Hatching Eggs Seized,Land Border,unspecified,unspecified,passenger pathway,unspecified,na,,,,,,,,,,?,N/A,?
Land Border,"Land Border Inspected By Agriculture, Pedestrians",Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,"Inspected By Agriculture, Pedestrians",Total number of people inspected,Total number of people inspected,Total number of people (or vehicles for vehicle pathway) inspected,Record the number of pedestrians inspected by agriculture.  This includes inspections by X-Ray.,Record the number of pedestrians inspected by agriculture.  This includes inspections by X-Ray.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border Live Birds Seized,Land Border,vehicles_trucks_pass,unspecified,passenger pathway,unspecified,na,,,,Land Border Live Birds Seized,non-passenger related,non-passenger related,non-passenger related,"Record the total number of birds seized from a vehicle, pedestrian, bus, border patrol, or other land border activity.  Source document VS 17-8.  This code is paired with 1069A.","Record the total number of birds seized from a vehicle, pedestrian, bus, border patrol, or other land border activity.  Source document VS 17-8.  This code is paired with 1069A.",?,N/A,N/A
Land Border,"Land Border Meat/Poultry/Dairy QMIs, Railcar",Land Border,train,unspecified,passenger pathway,conveyance,swine_products_byproducts,unspecified,,interception_or_violation,"Land Border Meat/Poultry/Dairy QMIs, Railcar",non-passenger related,non-passenger related,non-passenger related,Record the number of meat/poultry/dairy interceptions found as a result of a railcar inspections.,Record the number of meat/poultry/dairy interceptions found as a result of a railcar inspections.,Cargo,N/A,N/A
Land Border,Land Border Miscellaneous Freight Rail Cargo - Document Review/Clearan,Land Border,train,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Miscellaneous Freight Rail Cargo - Document Review/Clearan,non-passenger related,non-passenger related,non-passenger related,"Record by freight railcar the number of document review/clearances of cargo HELD to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR. If a document review results in an inspection, record the inspection under 1068D.  Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.  EXAMPLE: 1) ""Foodstuff"" listed on the manifest is held. The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) ""Pharmaceuticals"" is held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection was required. 3) ""Meat"" is held. An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection was required. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.","Record by freight railcar the number of document review/clearances of cargo HELD to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR. If a document review results in an inspection, record the inspection under 1068D.  Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.  EXAMPLE: 1) ""Foodstuff"" listed on the manifest is held. The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) ""Pharmaceuticals"" is held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection was required. 3) ""Meat"" is held. An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection was required. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",Cargo,N/A,N/A
Land Border,Land Border Miscellaneous Freight Rail Cargo Inspections,Land Border,train,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Miscellaneous Freight Rail Cargo Inspections,non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on freight rail manifest cargo specifically NOT regulated by 7 or 9 CFR or 50 CFR.  DO NOT include examinations by Non-Intrusive Inspection Technology (NII).  EXAMPLES of Miscellaneous Cargo:  Italian Tile, Handicrafts, Non-Compliant Wood Packing Material, Farm Equipment.","Record the number of physical inspections performed on freight rail manifest cargo specifically NOT regulated by 7 or 9 CFR or 50 CFR.  DO NOT include examinations by Non-Intrusive Inspection Technology (NII).  EXAMPLES of Miscellaneous Cargo:  Italian Tile, Handicrafts, Non-Compliant Wood Packing Material, Farm Equipment.",Cargo,N/A,N/A
Land Border,Land Border Miscellaneous Truck Cargo - Document Review/Clearance,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Miscellaneous Truck Cargo - Document Review/Clearance,non-passenger related,non-passenger related,non-passenger related,"Record by truck entry the number of document review/clearances of cargo HELD to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR. If a document review results in an inspection, record the inspection under 1068B. Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.  EXAMPLE: 1) ""Foodstuff"" listed on the manifest is held. The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) ""Pharmaceuticals"" is held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection was required. 3) ""Meat"" is held. An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection was required. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.","Record by truck entry the number of document review/clearances of cargo HELD to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR. If a document review results in an inspection, record the inspection under 1068B. Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.  EXAMPLE: 1) ""Foodstuff"" listed on the manifest is held. The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) ""Pharmaceuticals"" is held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection was required. 3) ""Meat"" is held. An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection was required. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",Cargo,N/A,N/A
Land Border,Land Border Miscellaneous Truck Cargo Inspections,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,na,,,,Land Border Miscellaneous Truck Cargo Inspections,non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on truck manifest cargo specifically NOT regulated by 7 or 9 CFR or 50 CFR.  DO NOT include examinations by Non-Intrusive Inspection Technology.  EXAMPLES of Miscellaneous Cargo:  Italian Tile, Handicrafts, Non-Compliant Wood Packing Material, Farm Equipment.  For example, each truck is accompanied by a manifest entry; it is one inspection. If a ""bobtail"" or ""huckster"" supplying local markets has several commodities, it is one inspection. Exclude manifest released under National Agricultural Release Program (NARP).","Record the number of physical inspections performed on truck manifest cargo specifically NOT regulated by 7 or 9 CFR or 50 CFR.  DO NOT include examinations by Non-Intrusive Inspection Technology.  EXAMPLES of Miscellaneous Cargo:  Italian Tile, Handicrafts, Non-Compliant Wood Packing Material, Farm Equipment.  For example, each truck is accompanied by a manifest entry; it is one inspection. If a ""bobtail"" or ""huckster"" supplying local markets has several commodities, it is one inspection. Exclude manifest released under National Agricultural Release Program (NARP).",Cargo,N/A,N/A
Land Border,Land Border Passenger Trains Entered,Land Border,train,passenger,passenger pathway,conveyance,na,,,,Passenger Trains Entered,Total number of conveyances entering,Total number of conveyances entering,Total number of conveyances entering,Record the total number of passenger trains entering through land border crossings.,Record the total number of passenger trains entering through land border crossings.,Passenger,Train,Land Border Train
Land Border,Land Border Passenger Trains Inspected,Land Border,train,passenger,passenger pathway,conveyance,na,,,,Passenger Trains Inspected,Total number of conveyances inspected,Total number of conveyances inspected,Total number of conveyances inspected,Record all passenger trains inspected.,Record all passenger trains inspected.,Passenger,Train,Land Border Train
Land Border,Land Border Passenger Vehicles Entering,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,conveyance,na,,,,Passenger Vehicles Entering,Total number of conveyances entering,Total number of conveyances entering,Total number of people (or vehicles for vehicle pathway) arriving,"Record the total number of passenger vehicles entering through land border crossings.  Include POVs, motorcycles, RVs etc. making entry through passenger processing.  DO NOT include commercial truck cargo or other vehicles carrying commercial cargo.","Record the total number of passenger vehicles entering through land border crossings.  Include POVs, motorcycles, RVs etc. making entry through passenger processing.  DO NOT include commercial truck cargo or other vehicles carrying commercial cargo.",Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border Passenger Vehicles Refused Entry,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,conveyance,na,,,,Passenger Vehicles Refused Entry,Total number of conveyances refused entry,Total number of conveyances refused entry,Total number of conveyances refused entry,"Record the total number of passenger vehicles sent back to the country of origin (voluntary or mandatory) as result of the detection of prohibited or contaminated agriculture commodities.  All prohibited and contaminated items were returned with the vehicles and no items were seized.  Include POVs, motorcycles, RVs etc.  DO NOT include commercial truck cargo or other vehicles carrying commercial cargo.","Record the total number of passenger vehicles sent back to the country of origin (voluntary or mandatory) as result of the detection of prohibited or contaminated agriculture commodities.  All prohibited and contaminated items were returned with the vehicles and no items were seized.  Include POVs, motorcycles, RVs etc.  DO NOT include commercial truck cargo or other vehicles carrying commercial cargo.",Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border Passengers In Buses Inspected,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,Passengers In Buses Inspected,Total number of people inspected,Total number of people inspected,Total number of people (or vehicles for vehicle pathway) inspected,Record the number of commercial bus passengers inspected in secondary by agriculture.  This includes inspections by X-Ray.,Record the number of commercial bus passengers inspected in secondary by agriculture.  This includes inspections by X-Ray.,Passenger,Bus,Land Border Bus
Land Border,Land Border Pedestrians Entering,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,Pedestrians Entering,Total number of people arriving,Total number of people arriving,Total number of people (or vehicles for vehicle pathway) arriving,Record the total number of pedestrians entering at the border crossings.,Record the total number of pedestrians entering at the border crossings.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs  Meat/Poultry/Dairy - Pax Train,Land Border,train,passenger,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,QMIs  Meat/Poultry/Dairy - Pax Train,QMIs Meat/Poultry/Dairy,Animal QMIs,Animal QMIs,"Record the number of meat/poultry/dairy interceptions found as a result of a passenger train inspection. 
NOTE: A salami and a piece of raw chicken seized from one passenger is one interception. A salami seized from one passenger on the train, and a piece of raw chicken seized from another would be Recorded as separate interceptions. [See the General Information Section for the definition of QMI material as it relates to animal products.]","Record the number of meat/poultry/dairy interceptions found as a result of a passenger train inspection. 
NOTE: A salami and a piece of raw chicken seized from one passenger is one interception. A salami seized from one passenger on the train, and a piece of raw chicken seized from another would be Recorded as separate interceptions. [See the General Information Section for the definition of QMI material as it relates to animal products.]",Passenger,Train,Land Border Train
Land Border,Land Border QMIs Avian - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Avian - Pedestrian,QMIs Avian,Animal QMIs,Animal QMIs,Record the number of Avian interceptions from pedestrian inspections.,Record the number of Avian interceptions from pedestrian inspections.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Avian - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,QMIs Avian - Vehicle,QMIs Avian,Animal QMIs,Animal QMIs,Record the number of Avian interceptions from a vehicular inspection.,Record the number of Avian interceptions from a vehicular inspection.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border QMIs Avian Byproduct - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Avian Byproduct - Pedestrian,QMIs Avian Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Avian byproduct interceptions from pedestrian inspections.,Record the number of inedible Avian byproduct interceptions from pedestrian inspections.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Avian Byproduct - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,QMIs Avian Byproduct - Vehicle,QMIs Avian Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Avian byproduct interceptions a vehicular inspection.,Record the number of inedible Avian byproduct interceptions a vehicular inspection.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border QMIs Dairy - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,QMIs Dairy - Pedestrian,QMIs Dairy,Animal QMIs,Animal QMIs,Record the number of Dairy interceptions from pedestrian inspections.,Record the number of Dairy interceptions from pedestrian inspections.,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Dairy - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,QMIs Dairy - Vehicle,QMIs Dairy,Animal QMIs,Animal QMIs,Record the number of Dairy interceptions from a vehicular inspections.,Record the number of Dairy interceptions from a vehicular inspections.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border QMIs Dairy Byproduct - Pedestrian,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,na,,,,,,,Animal QMIs,,,Passenger,Pedestrian,Land Border Pedestrian
Land Border,Land Border QMIs Dairy Byproduct - Vehicle,Land Border,vehicles_trucks_pass,passenger vehicle,passenger pathway,baggage,na,,,,QMIs Dairy Byproduct - Vehicle,QMIs Dairy Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Dairy byproduct interceptions a vehicular inspection.,Record the number of inedible Dairy byproduct interceptions a vehicular inspection.,Passenger,Vehicle,Land Border Vehicle
Land Border,Land Border QMIs Meat/Poultry/Dairy -  Bus,Land Border,vehicles_trucks_pass,peds_buses,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,QMIs Meat/Poultry/Dairy -  Bus,QMIs Meat/Poultry/Dairy,Animal QMIs,Animal QMIs,"Record the number of meat/poultry/dairy interceptions found from commercial bus inspections. NOTE: A salami and a piece of raw chicken seized out of one vehicle is one interception. A salami seized out of one vehicle, and a piece of raw chicken seized out of another vehicle would be Recorded as separate interceptions. [See the General Information Section for the definition of QMI material as it relates to animal products.]","Record the number of meat/poultry/dairy interceptions found from commercial bus inspections. NOTE: A salami and a piece of raw chicken seized out of one vehicle is one interception. A salami seized out of one vehicle, and a piece of raw chicken seized out of another vehicle would be Recorded as separate interceptions. [See the General Information Section for the definition of QMI material as it relates to animal products.]",Passenger,Bus,Land Border Bus
Land Border,Land Border QMIs Meat/Poultry/Dairy - Truck Cargo,Land Border,vehicles_trucks_pass,cargo,passenger pathway,cargo_shipment,swine_products_byproducts,personal_use_consumption,,interception_or_violation,Land Border QMIs Meat/Poultry/Dairy - Truck Cargo,non-passenger related,non-passenger related,non-passenger related,"Record the number of meat/poultry/dairy interceptions found as a result of a cargo inspection. This number is for meat/poultry/dairy interceptions incidental to the cargo inspection, not the cargo itself.","Record the number of meat/poultry/dairy interceptions found as a result of a cargo inspection. This number is for meat/poultry/dairy interceptions incidental to the cargo inspection, not the cargo itself.",Cargo,N/A,N/A
