CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,REF_WADS_DEPARTMENT_ID,applicability,quantification_purpose,quantification_of,entry_type,PoE,convey_type,conveyance,container_edge,Notes,product_pathway,product_subpathway,PATHWAY
2093A,"O/T Inspections, Miscellaneous Cargo, Maritime","Report by bill of lading the number of REIMBURSABLE inspections performed on miscellaneous maritime cargo. These inspections pertain only to Pre-departure activities. Note: If a regulated item is found during a miscellaneous inspection, that cargo is considered regulated.",1,,,,,,,,,,,,
2112A,"O/T Plant Shipments, Not Endangered ",Report the number of propagative plant shipments (not seed) received through the Inspection Station (outside the regular hours of service) that are NOT endangered species. This code is paired with 2112B.,1,,,,,,,,,,,,
2112B,O/T Plant Units In Shipments Of Not Endangered Plants,"Report the number of propagative plant UNITS (not seed) received through the Inspection Station  that are NOT endangered species (outside the regular hours of service). DO NOT include the number of plant tissues, plantlets, or seedlings in flasks, plastic containers, tissue culture tubes, etc. or the number of plants in growing media reported under activity code 2112H.",1,,,,,,,,,,,,
2112C,"O/T Seed Shipments, Not Endangered ",Report the number of propagative seed shipments (not endangered species) received through the Inspection Station (outside the regular hours of service). This code is paired with 2112D.,1,,,,,,,,,,,,
2112D,"O/T Weight Of Seed Shipments, Not Endangered",Report the weight (in kilos) of propagative seed shipments received through the Inspection Station (outside the regular hours of service) that are not endangered species.,1,,,,,,,,,,,,
2116A,O/T Fumigated Plant Shipments ,Report the number of PLANT SHIPMENTS FUMIGATED outside the regular hours of service. This code is paired with 2117A.,1,,,,,,,,,,,,
2116B,O/T Fumigated Seed Shipments ,Report the number of propagative seed shipments that were fumigated outside the regular hours of service. This code is paired with 2117B.,1,,,,,,,,,,,,
2117A,O/T Fumigated Plant Units ,Report the number of plant units receiving fumigation treatment outside the regular hours of service.,1,,,,,,,,,,,,
2117B,O/T Weight of Fumigated Seed Shipments,Report the weight (in kilos) of propagative seed shipments fumigated at the Inspection Station outside the regular hours of service.,1,,,,,,,,,,,,
1098D,Pre-Clearance QMIs Soil,"Record the number of soil interceptions from passenger baggage under the Pre-Clearance program (i.e. Non-US origin including Caribbean islands, Canadian ports, etc.)",2,,,,,,,,,,,,
1100,"Quarantine Pest, Baggage",Record the number the quarantine pests intercepted from Pre-Departure passenger/crew baggage departing Puerto Rico or Hawaii.,1,,,,,,,,,,,,
1113,Violations Processed,Report the number of violations issued at the Plant Inspection Station.  This would include those on overtime and regular time. The source document is the PPQ 518.,1,,,,,,,,,,,,
1115,Interceptions - Non-Quarantine Pest (PIS Only),"Report the number of non-quarantine pest being intercepted at the plant inspection station (PIS only) during the month during regular hours of service. A non-quarantine pest is a pest (insect, seed, disease, mollusk, and plant material) submitted on a PPQ form 309A in which after final identification is complete, no action is required.",1,,,,,,,,,,,,
1139,USPS Mail Interception Notices Issued (including parcel post and express),Report the number of Mail Interception Notices issued out of the mail facility for USPS Mail (parcel post and express). The Mail Interception Notice is issued to notify the individual receiving the mail package that unauthorized agricultural products were removed; informs the sender of the reason for the removal; record regulatory action taken by CBP. Source document is PPQ form 287.,2,,,,,,,,,,,,
1162C,Certification Checks - Incinerators / Sterilizer,"Record all equipment certifications checks conducted on regulated garbage incinerators or sterilizers, regardless of which agency holds the compliance agreement.  Certification checks are reviews of the equipment for calibration and function, not the operators of the equipment.  Compliance checks are recorded under 1162B.  A certification check and compliance check may occur during the same visitant should be recorded as such.",1,,,,,,,,,,,,
2114,O/T Interceptions - Quarantine Pests (PIS Only),Report the number of quarantine pests intercepted at the plant inspection station (PIS only) during overtime hours. Do not include quarantine pest from other than the inspection station.,1,,,,,,,,,,,,
2115,O/T Interceptions - Non-Quarantine,Report the number of non-quarantine pest being intercepted at the plant inspection station during the month during overtime hours.,1,,,,,,,,,,,,
1161A,Cold Treatment Verifications,"Report the number of cold treatments performed/verified.  Source document is the CT Clearance Report, PPQ 556",1,,,,,,,,,,,,
1161B,Vessel Calibrations,Report the number of vessel calibrations recorded.  The source form is PPQ 449.,1,,,,,,,,,,,,
1163A,Emergency Action Notification (EAN) Form 523 Issued,Record the number of CBP issued Emergency Action Notifications (EANs).  Source is PPQ Form 523.  Count an EAN only if it is issued and entered into the database when an emergency action is taken for an agricultural purpose in the cargo environment.  An EAN should not be issued for precautionary treatments; for mandatory treatment as condition of entry; to hold a shipment; for USPS mail; or for shipments of live animals or live animal products.  Further information can be found in the EAN Policy Guide on the AQAS Help Screen.,2,,,,,,,,,,,,
1061A,Land Border Bus Passengers/Crew Entering,"Record the total number of bus passengers/Crew entering at the border crossing.  
",2,1,arrival,persons,passenger,land border,vehicle,bus,baggage,,,,Pedestrian
1061B,Land Border Train Passengers/Crew Entering,"Record the total number of passengers/Crew entering on passenger trains.
",2,1,arrival,persons,passenger,land border,vehicle,train,baggage,,,,
1162A,"Compliance Checks, Approved Facilities","Record the number of visits to check compliance of approved facilities such as caterers/vendors, transload sites. Include only those facilities who have PPQ form 519s on file or initial visits resulting in a compliance agreement.
",2,,,,,,,,,,,,
1162B,"Compliance Checks, Approved Facility","Record the number of visits to check compliance of approved facilities having a compliance agreement, including soil labs, garbage processors, fumigators, etc. Include only those facilities who have PPQ form 519s on file or initial visits resulting in a compliance agreement.  This would include compliance checks on companies processing and movement of Hawaiian garbage.",1,,,,,,,,,,,,
1005A,"Ship Inspections, domestic",Report the number of inspected domestic (Q-13 or Q-58) Hawaii and Puerto Rico-only (round trips) vessels.,1,,,,,,,,,,,,
1098E,"QMIs, Plant, PreDeparture Baggage ",Report the number of plant QMIs intercepted from Pre-departure baggage inspections,1,,,,,,,,,,,,
1104A,"Violations, Predeparture Passenger/Crew",Report the number of violations (PPQ518) issued to pre-departure passengers and crew.,1,,,,,,,,,,,,
3004B,Storage Warehouse Inspection,"Record the number of BRS  Warehouse Inspection for genetically engineered plants, or other organisms. Record the number of Storage Warehouse Inspections completed (with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3003A,Pharmaceutical Release Permit Pre-planting,"Record the number of BRS  Field Inspection for genetically engineered plants during preplanting time for a Pharmaceutical and/or Industrial Permit. Record the number of pre-planting Pharma Inspections completed (with final Report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3003B,Pharmaceutical Release Permit Planting,"Record the number of BRS  Field Inspection for genetically engineered plants for a Pharmaceutical and/or Industrial Permit at time of planting. Record the number of planting Pharma Inspections completed (with final Report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3003C,Pharmaceutical Release Permit Flowering,"Record the number of BRS  Field Inspection for genetically engineered plants for a Pharmaceutical and/or Industrial Permit at time of flowering. Record the number of flowering Pharma Inspections completed (with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3003D,Pharmaceutical Release Permit Harvest,"Record the number of BRS  Field Inspection for genetically engineered plants for a Pharmaceutical and/or Industrial Permit at time of harvest. Record the number of harvest Pharma Inspections completed(with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3003F,Pharmaceutical Release Permit First Volunteer,"Record the number of BRS  Field Inspection for genetically engineered plants for a Pharmaceutical and/or Industrial Permit the following year to look for volunteering plants. Record the number of volunteer Pharma Inspections completed (with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3006,Return to General Use,"Record the number of BRS Inspection for labs, machinery or equipment returning to general use. Record the number of Return to General Use Inspections completed (with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3001,Notification Inspection,"Record the number of BRS Field Inspection for genetically engineered plants for Notifications. Record the number of Notification Inspections completed (with final Report submitted) - one per unique BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3004A,Containment Facility Inspection,"Record the number of BRS  Facility Inspection for genetically engineered plants or other organisms.  Record the number of Containment Facility Inspections completed (with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3007,Directed Inspection,"Record the number of BRS Inspection that is directed for any given circumstance determined by BRS to be necessary. This inspection is for unique conditions that are inspected for. Record the number of Directed Inspections completed (with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
3004C,Arthropod Containment Inspections,"Record the number of BRS Inspection for genetically engineered arthropods. Record the number of Arthropod Containment Inspections completed (with final report submitted) - one per BRS inspection number (e.g., IN 07-633).",1,,,,,,,,,,,,
6341A,"QMIs, Plant (CkPt-BP)","Record the number of plant material interceptions (QMIs) from check points or Border Patrol stations. This includes all plant material requiring action (seizure, treatment, re-export).",1,,,,,,,,,,,,
6342A,"QMIs, Plant, Weight (CkPt-BP)",Record the estimated weight of the plant material interceptions from check points or Border Patrol stations in kilograms.,1,,,,,,,,,,,,
6347A,Quarantine Pests (CkPt-BP),Record the number of quarantine pests intercepted from check points or Border Patrol stations. This information is supplied by the identifiers.,1,,,,,,,,,,,,
6349A,"Violations, PPQ 518 (CkPt-BP)",Record the number of Record of Violations (PPQ 518) issued from check points or Border Patrol stations on Regular Time.,1,,,,,,,,,,,,
6350A,"Emergency Action Notices, Ppq 523 (CkPt-BP)",Record the number of Emergency Action Notifications (PPQ 523) issued from check points or Border Patrol stations.,1,,,,,,,,,,,,
6351A,"Inspections, Check Point/Border Patrol",Record the number of transit conveyance inspections at weigh stations and Border Patrol checkpoint locations during regular hours of service.  Do not include port of entry locations.,1,,,,,,,,,,,,
7351A,"O/T Inspections, Check Point/Border Patrol",Record the number of transit conveyance inspections at weigh stations and Border Patrol checkpoint locations during overtime hours of service.  Do not include port of entry locations.,1,,,,,,,,,,,,
6352,Internal Referrals Completed,"Record the number of referrals received from PPQ, DHS, or other government agency that are completed during the reporting period.  Completion means that the referral information was followed up on and feedback information was provided back to the originator of the referral.",1,,,,,,,,,,,,
6353,External Referrals Received,"Record the number of referrals tips received from non government agencies as a result from outreach to private industry, organizations, associations, and/or public awareness.  The tip is shared information which initiates follow-up action, trace back, trace forwards for SITC purposes.",1,,,,,,,,,,,,
6354,Outreach - Formal Presentations and Meetings,"Record the number of formal presentations given and meetings or trade shows attended for the purpose of informing other agencies, private industry, non-government organizations and associations, and/or the public about the SITC mission and regulations.  Each presentation or meeting is a single outreach activity regardless of how many individuals attend the presentation, meeting or trade show.",1,,,,,,,,,,,,
6355,Queries Conducted,"Record the number of queries made utilizing PPQ databases, CBP databases, or other databases for purpose of analyzing shipments entering or moving, and the companies or individuals involved.",1,,,,,,,,,,,,
6356,Alerts Generated,"Record the number of alerts (local or national) that originated from the work unit.  Alerts are documents stating that a product or products of concern may be entering through a port/s.  An alert is based on known prohibited products that have been found and traced back to the Port of Entry.  The unit making the determination as to how and where the product entered, and thereby generating the alert, is the one that will Record the alert.",1,,,,,,,,,,,,
6347B,Commerce Interceptions Non-Quarantine Pest,"Record the number of non-quarantine pests intercepted from SITC blitzes, market inspections, distributor, and follow-up inspections (retail or wholesale). Include both overtime and regular time. Information supplied by USDA PPQ identifiers. A non-quarantine pest is a pest (insect, seed, disease, mollusk, and plant material) submitted on a PPQ form 309A or 391 in which after final identification is complete, no action is required.",1,,,,,,,,,,,,
1165A,CITES Violations/Non-Compliance Incidents,"Report the number of incidents that involve non-propagative plant CITES material that resulted in forfeiture or other corrective action to comply with CITES requirements. This may include obtaining a CITES permit, re-exportation, or seizure from passenger baggage, mail, or cargo.  Example would include mahogany lumber or other refined products made out of CITES materials.",2,,,,,,,,,,,,
1118A,"Seed Treatments, Non-Fumigant","Report the number of Seed shipments requiring treatment other than fumigation during regular hours of service.  Include dips, manual removal, deep burial, incineration, grinding, etc. This activity is paired with 1118B.",1,,,,,,,,,,,,
1118B,"Seed Treatments, Non-Fumigant (KGS)","Report the number of Seed shipments requiring treatment other than fumigation during regular hours of service in kilograms.  Include dips, manual removal, deep burial, incineration, grinding, etc.",1,,,,,,,,,,,,
1118C,"Plant Treatments, Non-Fumigant","Report the number of propagative plant shipments requiring treatment other than fumigation during regular hours of service.  Include dips, manual removal, deep burial, incineration, grinding, etc..  This activity is paired with 1118D.",1,,,,,,,,,,,,
1118D,"Plant Treatments, Non-Fumigant  (Plant Units)","Report the number of propagative plant units requiring treatment other than fumigation during regular hours of service.  Include dips, manual removal, deep burial, incineration, grinding, etc.",1,,,,,,,,,,,,
2118A,"O/T Seed Treatments, Non-Fumigant","Report the number of Seed shipments requiring treatment other than fumigation during overtime hours.  Include dips, manual removal, deep burial, incineration, grinding, etc..  This activity is paired with 2118B.",1,,,,,,,,,,,,
2118B,"O/T Seed Treatments, Non-Fumigant (KGS)","Report the number of Seed shipments requiring treatment other than fumigation during overtime hours in kilograms.  Include dips, manual removal, deep burial, incineration, grinding, etc..",1,,,,,,,,,,,,
2118C,"O/T Plant Treatments, Non-Fumigant","Report the number of propagative plant shipments requiring treatment other than fumigation during overtime hours.  Include dips, manual removal, deep burial, incineration, grinding, etc.. This activity is paired with 2118D.",1,,,,,,,,,,,,
2118D,"O/T Plant Treatments, Non-Fumigant (Plant Units)","Report the number of propagative plant units requiring treatment other than fumigation during overtime hours.  Include dips, manual removal, deep burial, incineration, grinding, etc.",1,,,,,,,,,,,,
1114A,Interceptions Quarantine (All Areas),"Report the number of quarantine pest being identified by identifiers for their area of coverage during regular hours of service. This would include interceptions for air, land, sea, rail, PIS, domestic, SITC, etc.. This would include quarantine pest with no action and quarantine pest that require action. This is to measure identifier workload.",1,,,,,,,,,,,,
1115A,Interceptions Non-Quarantine (All Areas),"Report the number of non-quarantine pest being identified by identifiers for their area of coverage during regular hours of service. This would include interceptions for air, land, sea, rail, PIS, domestic, SITC, etc.. This is to measure identifier workload.",1,,,,,,,,,,,,
2114A,O/T Interceptions Quarantine (All Areas),"Report the number of quarantine pest being identified by identifiers for their area of coverage during overtime hours. This would include interceptions for air, land, sea, rail, PIS, domestic, SITC, etc.. This is to measure identifier workload.",1,,,,,,,,,,,,
2115A,O/T Interceptions Non-Quarantine (All Areas),"Report the number of non-quarantine pest being identified by identifiers for their area of coverage during overtime hours. This would include interceptions for air, land, sea, rail, PIS, domestic, SITC, etc.. This is to measure identifier workload.",1,,,,,,,,,,,,
1091B,"Inspection, Domestic Vessels Pax/Crew",Report the number of passenger and crew processed through Maritime vessels whether actual physical inspection of their baggage was or was not conducted.,1,,,,,,,,,,,,
1090B,"Inspections, Domestic Vessels",Report the number of Maritime Vessels inspected in pre departure services.,1,,,,,,,,,,,,
1126B,Live Canadian CITES/ESA,"Report the number of live plants shipments which are of Canadian origin AND listed (a) in one of the Appendices to the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), and/or (b) as Threatened or Endangered under the Endangered Species Act (ESA).  This code to be used by CITES designated ports, only (see 50 CFR part 24).  CITES plants are regulated under 50CFR part 23.  ESA plants are regulated under 50 CFR part 17.  These shipments are inspected and released by CBP AI Officials and are not sent to an inspection station. A shipment is one truck on the manifest Each variety does not count as a separate shipment. This code is paired with activity code 1126C.",2,,,,,,,,,,,,
1126C,Live Canadian CITES Plant Units,"Report the number of plant units (cuttings, whole plants, propagative units (other than seed)) that were in the endangered species shipments arriving from Canada via a northern land border crossing that was inspected and released by CBP AI Officials.  The number of shipments is reported under activity code 1126B.",2,,,,,,,,,,,,
1110A,Shipments of Endangered Seeds,"Report the number of endangered species (ESA) or CITES seed shipments which arrived from airport, maritime, or land border services and were inspected. A shipment is one bill of lading, airway bill, or the amount carried in baggage with each custom declaration. Each variety does not count as a separate shipment. This code is paired with activity code 1111A.",1,,,,,,,,,,,,
1111A,KGS of Endangered Seeds,Report the Kilograms of CITES and ESA seed shipments reported under activity code 1110A.,1,,,,,,,,,,,,
2110A,O/T Shipments of Endangered Seeds,"Report the number of endangered species (ESA) or CITES seed shipments which arrived from airport, maritime, or land border services and were inspected on a REIMBURSABLE basis. A shipment is one bill of lading, airway bill, or the amount carried in baggage with each custom declaration. Each variety does not count as a separate shipment. This code is paired with activity code 2111A.",1,,,,,,,,,,,,
2111A,O/T KGS of Endangered Seeds,Report the Kilograms of CITES and ESA seed shipments reported under activity code 2110A that were inspected on a REIMBURSABLE basis.,1,,,,,,,,,,,,
1069A,Land Border VS 17-8 Issued (Pet Birds,"Record the number of VS 17-8 (Agreement of Pet Bird Owner) issued from a vehicle, pedestrian, bus, border patrol, or other land border activity.",2,,,,,,,,,,,,
1069B,Land Border Live Birds Seized,"Record the total number of birds seized from a vehicle, pedestrian, bus, border patrol, or other land border activity.  Source document VS 17-8.",2,,,,,,,,,,,,
1045A,Airport Baggage VS 17-8 Issued (Pet Birds) ,"Record the number of VS 17-8 (Agreement of Pet Bird Owner) issued from an arriving air passenger, crew member, or Air  and  Marine.  This code is paired with 1045B, if birds are seized.
",2,,,,,,,,,,,,
1045B,Airport Baggage Live Birds Seized,"Record the total number of birds seized from an arriving air passenger or crew member.  Source document VS 17-8.  This code is paired with 1045A, if birds are seized.
",2,,,,,,,,,,,,
1017A,Maritime Baggage VS 17-8 Issued (Pet Birds) ,"Record the number of VS 17-8 (Agreement of Pet Bird Owner) issued from a maritime passenger, crew member, or Air  and  Marine.  This code is paired with 1017B if birds are seized.
",2,,,,,,,,,,,,
1017B,Maritime Baggage Live Birds Seized,"Record the total number of birds seized from an arriving maritime passenger or crew member.  Source document VS 17-8.  This code is paired with 1017A if birds are seized.
",2,,,,,,,,,,,,
6361A,Annual Commerce Site Inspection - Commerce Site Compliant,Record the number of annual commerce site inspections during regular hours found in compliance (no prohibited items seized or identified at the site).  An annual commerce site inspection is the first inspection in a 365-day cycle. Record as follow-up inspections all subsequent visits of the site within 365 days of a previous inspection.,1,,,,,,,,,,,,
7361A,O/T Annual Commerce Site Inspection - Commerce Site Compliant,Record the number of annual commerce site inspections outside of regular hours found in compliance (no prohibited items seized or identified at the site).  An annual commerce site inspection is the first inspection in a 365-day cycle. Record as follow-up inspections all subsequent visits of the site within 365 days of a previous inspection.,1,,,,,,,,,,,,
6361B,Follow-up Visit ? All items found in Compliance in most recent visit.,Record the number of follow-up inspections conducted at a commerce site that was found compliant in the most recent visit within the 12 month time period established for each site on Regular Time.,1,,,,,,,,,,,,
7361B,O/T Follow-up Visit - All items found in Compliance-most recent visit,Record the number of follow-up inspections conducted at a commerce site that was found compliant in the most recent visit within the 12 month time period established for each site on Overtime.,1,,,,,,,,,,,,
6361C,Follow-up Visit ? Non-Compliant  items previously found,Record the number of follow-up inspections conducted at a commerce site found non-compliant in the most recent visit within the 12 month time period established for each site on Regular Time.,1,,,,,,,,,,,,
7361C,O/T Follow-up Visit - Non-Compliant  items previously found,Record the number of follow-up inspections conducted at a commerce site found non-compliant in the most recent visit within the 12 month time period established for each site on Overtime.,1,,,,,,,,,,,,
6361D,Commerce Site Visit resulting from Referral/Tip/Recall,Record the number of commerce site inspections resulting from a referral/tip (internal or external) including recall inspections during Regular Time.,1,,,,,,,,,,,,
7361D,O/T Commerce Site Visit resulting from Referral/Tip/Recall,Record the number of commerce site inspections resulting from a referral/tip (internal or external) including recall inspections during Overtime.,1,,,,,,,,,,,,
6361E,"Positive Visit (i.e., non-compliant items were found)",Record the number of visits to commerce sites where one or more non-compliant items were found.  A single positive visit will be Recorded regardless of the number of items found.,1,,,,,,,,,,,,
6350B,First Time EAN Issue for a commodity (Commerce Site / Domestic Source),"Record the number of first time Emergency Action Notifications issued for actions taken on a commodity (seized, re-exported, treated) at a commerce site or domestic source (residential) from a Regular Time.  This would also include recalls.  Do not include Holds. Record holds under 6350D.",1,,,,,,,,,,,,
6350C,Repeat EAN Issued for a commodity (Commerce Site / Domestic Source),"Record the number of repeat Emergency Action Notifications issued to a commerce site or domestic source (residential) for actions taken (seized, re-exported, treated) on the same commodity from an Regular Time visit.  This would also include recalls. Do not include Holds. Record holds under 6350D.",1,,,,,,,,,,,,
6350D,Commerce EAN Holds,Record the number of EANs issued to place a hold on a product when the product at a commerce site and was released on Regular Time with no further action taken.  Only record after the final determination has been made.,1,,,,,,,,,,,,
6357A,Tracebacks Initiated,Record the number of tracebacks initiated by your work unit.  Do not count traceback actions forwarded to your location from another work unit,1,,,,,,,,,,,,
6357B,Tracebacks Completed (Non-Compliant),The work unit closing the traceback shall record the number of non-compliant pathways completed at the domestic importer level or domestic source.,1,,,,,,,,,,,,
6357C,Tracebacks Completed (Compliant),The work unit closing the traceback shall record the number of tracebacks found compliant.,1,,,,,,,,,,,,
6357D,Tracebacks Completed (Dead End),The work unit closing the traceback shall record the number of dead end tracebacks.,1,,,,,,,,,,,,
6359A,POE Joint (PPQ/CBP) Special Operation Work Proposals Written,Record the number of written joint special operation work plans proposed with CBP at ports of entry.,1,,,,,,,,,,,,
6359B,POE Joint (PPQ/CBP) Special Operation Work Proposals Approved,Record the number of joint special operations at ports of entry approved by CBP.,1,,,,,,,,,,,,
6359C,POE Joint (PPQ/CBP) Special Operation Work Proposals Completed,"Record the number of joint special operations with CBP at ports of entry completed in the air, land, sea, rail, inland, mail and express carrier pathways.",1,,,,,,,,,,,,
1139A,USPS Express Mail Interception Notices Issued (Form 287),"Record the number of Mail Interception Notices (Form 287) issued from USPS Express Mail.
",2,,,,,,,,,,,,
1130B,Express Courier Packages Inspected,"Record the number of packages which have been physically opened and inspected by Agriculture at a courier facility or via a courier conveyance (FedEx, DHL, UPS, etc.) for express courier packages.  Packages that have been x-rayed only are recorded under code 1137B.  An Express Courier is defined in 19 CFR 128.",2,,,,,,,,,,,,
1131B,Express Courier regulated/prohibited Plant/Plant Products,"Express Courier Plant/Plant Product Interceptions: Record the number of regulated/prohibited plants/plant products intercepted from express courier packages (FedEx, DHL, UPS, etc.). NOTE: Three different fruits would count as three interceptions. Three oranges seized out of one container would count as one interception.""",2,,,,,,,,,,,,
1137B,Number Of Express Courier Packages X-Rayed,"Record the number of Express Courier (FedEx, DHL, UPS, etc.) packages x-rayed.",2,,,,,,,,,,,,
1132BP,Express Courier regulated/prohibited  Avian Meat/Meat Products,"Express Courier Avian Meat/Meat Product is an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption).  Ingredients lists should be checked for meat products; determine and record the dominant meat type.  Record the number of avian meat / meat product / meat byproduct interceptions from express courier packages (FedEx, DHL, UPS, etc.).",2,,,,,,,,,,,,
1132BD,Express Courier regulated/prohibited Milk/Milk Products,"Express Courier Milk/Milk Product is an agricultural product specifically regulated by 9 CFR; it includes edible and inedible animal materials.  Record the number of milk / milk product interceptions from express courier packages (FedEx, DHL, UPS, etc).",2,,,,,,,,,,,,
1132BR,Express Courier regulated/prohibited Ruminant Meat/Meat Products,"Express Courier Ruminant Meat/Meat Product is an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption).  Ingredients lists should be checked for meat products; determine and record the dominant meat type.  Record the number of ruminant meat / meat product / meat byproduct interceptions from express courier packages (FedEx, DHL, UPS, etc).",2,,,,,,,,,,,,
1132BS,Express Courier regulated/prohibited Swine Meat/Meat Products,"Express Courier Swine Meat/Meat Product is an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption).  Ingredients lists should be checked for meat products; determine and record the dominant meat type.  Record the number of swine meat / meat product / meat byproduct interceptions from Express Courier (FedEx, DHL, UPS, etc).",2,,,,,,,,,,,,
1134BP,Express Courier regulated/prohibited Avian Byproduct,"Express Courier Avian Byproduct is an agricultural product specifically regulated by 9 CFR; it includes only the inedible animal materials (i.e., not for human consumption).  Record the number of avian byproduct interceptions from Express Courier (FedEx, DHL, UPS, etc).",2,,,,,,,,,,,,
1134BD,Express Courier QMIs Dairy Byproduct,"Record the number of inedible Dairy byproduct interceptions from Express Courier (FedEx, DHL, UPS, etc.).",2,,,,,,,,,,,,
1134BR,Express Courier regulated/prohibited Ruminant Byproducts,"Express Courier Ruminant Byproduct is an agricultural product specifically regulated by 9 CFR; it includes only the inedible animal materials (i.e., not for human consumption). Record the number of ruminant byproduct interceptions from Express Courier (FedEx, DHL, UPS, etc.).",2,,,,,,,,,,,,
1134BS,Express Courier regulated/prohibited Swine Byproducts,"Express Courier Swine Byproduct is an agricultural product specifically regulated by 9 CFR; it includes only the inedible animal materials (i.e., not for human consumption).  Record the number of swine byproduct interceptions from Express Courier (FedEx, DHL, UPS, etc.).",2,,,,,,,,,,,,
1039AP,Airport QMIs Avian Meat/Meat Products - Baggage,"Baggage Avian Meat/Meat Product:  an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption).  Ingredients lists should be checked for meat products; determine and record the dominant meat type.  Record the number of avian meat / meat product / meat byproduct interceptions from air passenger/crew baggage inspection.",2,,,,,,,,,,,,
1039AD,Airport QMIs Milk/milk products - Baggage,Baggage Milk/milk product is an agricultural product specifically regulated by 9 CFR; it includes edible and inedible animal materials.  Record the number of milk / milk product interceptions from air passenger/crew baggage inspections.,2,,,,,,,,,,,,
1039AR,Airport QMIs Ruminant Meat/Meat Products - Baggage,"Baggage Ruminant Meat/Meat Product is an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption).  Ingredients lists should be checked for meat products; determine and record the dominant meat type.  Record the number of ruminant meat / meat product / meat byproduct interceptions from air passenger/crew baggage inspection.",2,,,,,,,,,,,,
1039AS,Airport QMIs Swine Meat/Meat Products - Baggage,"Baggage Swine Meat/Meat Product is an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption).  Ingredients lists should be checked for meat products; determine and record the dominant meat type.  Record the number of swine meat / meat product / meat byproduct interceptions from air passenger/crew baggage inspection.",2,,,,,,,,,,,,
1041AP,Airport QMIs Avian Byproducts - Baggage,"Baggage Avian Byproduct is an agricultural product specifically regulated by 9 CFR; it includes only the inedible animal materials (i.e., not for human consumption).  Record the number of avian byproduct interceptions from air passenger/crew baggage.",2,,,,,,,,,,,,
1041AD,Airport Baggage QMIs Dairy Byproduct,"Record the number of inedible Dairy byproducts from air passenger/crew baggage.
",2,,,,,,,,,,,,
1041AR,Airport  QMIs Ruminant Byproducts - Baggage,"Baggage Ruminant Byproduct is an agricultural product specifically regulated by 9 CFR; it includes only the inedible animal materials (i.e., not for human consumption). Record the number of ruminant byproduct interceptions from air passenger/crew baggage.",2,,,,,,,,,,,,
1041AS,Airport QMIs Swine Byproducts - Baggage,"Baggage Swine Meat/Meat Product is an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption). Ingredients lists should be checked for meat products; determine and record the dominant meat type. Record the number of swine meat / meat product / meat byproduct interceptions from air passenger/crew baggage.",2,,,,,,,,,,,,
1011AP,Maritime QMIs Avian Meat/Meat Products - Baggage,"Baggage Avian Meat/Meat Product:  an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption).  Ingredients lists should be checked for meat products; determine and record the dominant meat type.  Record the number of avian meat / meat product / meat byproduct interceptions from maritime passenger/crew baggage inspections.",2,,,,,,,,,,,,
1011AD,Maritime QMIs  Milk/milk Products  - Baggage,Baggage Milk/milk products is an agricultural product specifically regulated by 9 CFR; it includes edible and inedible animal materials.  Record the number of milk / milk product interceptions from maritime passenger/crew baggage inspections.,2,,,,,,,,,,,,
1011AR,Maritime QMIs Ruminant Meat/Meat Products - Baggage,"Baggage Ruminant Meat/Meat Product:  an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption).  Ingredients lists should be checked for meat products; determine and record the dominant meat type.  Record the number of ruminant meat / meat product / meat byproduct interceptions from maritime passenger/crew baggage inspections.",2,,,,,,,,,,,,
1011AS,Maritime QMIs Swine Meat/Meat Products - Baggage,"Baggage Swine Meat/Meat Products:  an agricultural product specifically regulated by 9 CFR; it includes only the edible animal materials (i.e., for human consumption).  Ingredients lists should be checked for meat products; determine and record the dominant meat type.  Record the number of swine meat / meat product / meat byproduct interceptions from maritime passenger/crew baggage inspections.",2,,,,,,,,,,,,
