task,owner,sub_category,start_date,completion_comments,Animal.kg,Plant.kg,lat,lon,PATHWAY,how_many,entry_type,aqim_based,COMMODITY_DISPLAY_NAME
TK:5980:24,Puerto Rico,IBL 24-048,2024-04-27T03:00:00Z,"Animal 2.5 pounds
Plant 0.5 pounds",1.13398,0.226796,18.51306,-67.11471,IBL,,passenger,NA,Animal_IBL
TK:7958:24,Florida,IBL 24-048,2024-07-30T09:30:00Z,NA,NA,NA,24.54517,-81.80703,IBL,,passenger,NA,Animal_IBL
TK:5847:24,Puerto Rico,IBL 24-047,2024-04-19T03:00:00Z,"Animal# 6
Plant #4",2.721552,1.814368,18.5127,-67.04023,IBL,,passenger,NA,Animal_IBL
TK:7927:24,Florida,IBL 24-047,2024-07-07T22:00:00Z,NA,NA,NA,26.75707,-80.03628,IBL,,passenger,NA,Animal_IBL
TK:5466:24,Puerto Rico,IBL 24-046,2024-04-07T03:00:00Z,"Animal: 13.0 pounds
Plant 0.0 pounds",5.896696,0,18.50342,-67.0027,IBL,,passenger,NA,Animal_IBL
TK:7926:24,Florida,IBL 24-046,2024-07-02T22:20:00Z,Vessel landed in South Miami beach and all subjects considered got-aways.,NA,NA,25.76916,-80.13061,IBL,,passenger,NA,Animal_IBL
TK:7268:24,Florida,IBL 24-045,2024-06-30T04:00:00Z,NA,NA,NA,26.53856,-80.05404,IBL,,passenger,NA,Animal_IBL
TK:5455:24,Puerto Rico,IBL 24-045,2024-04-07T03:00:00Z,"Animal: 0.0 pounds
Plants: 0.0 pounds",0,0,18.50846,-67.02472,IBL,,passenger,NA,Animal_IBL
TK:7267:24,Florida,IBL 24-044,2024-06-30T21:00:00Z,NA,NA,NA,24.55302,-81.75211,IBL,,passenger,NA,Animal_IBL
TK:5454:24,Puerto Rico,IBL 24-044,2024-04-07T03:00:00Z,"Animal: 0.0 pounds
Plant 0.0 pounds",0,0,18.4897,-67.15796,IBL,,passenger,NA,Animal_IBL
TK:7266:24,Florida,IBL 24-043,2024-06-27T19:00:00Z,NA,NA,NA,25.328,-80.2592,IBL,,passenger,NA,Animal_IBL
TK:7266:24,Florida,IBL 24-043,2024-06-27T19:00:00Z,NA,NA,NA,25.328,-80.2592,IBL,,passenger,NA,Animal_IBL
TK:7269:24,Florida,IBL 24-043,2024-06-27T19:00:00Z,NA,NA,NA,25.328,-80.2592,IBL,,passenger,NA,Animal_IBL
TK:7269:24,Florida,IBL 24-043,2024-06-27T19:00:00Z,NA,NA,NA,25.328,-80.2592,IBL,,passenger,NA,Animal_IBL
TK:5009:24,Puerto Rico,IBL 24-043,2024-03-24T03:00:00Z,"Animal 10.0 pounds
Plants 7.5 pounds",4.53592,3.4019399999999997,17.96751,-67.21308,IBL,,passenger,NA,Animal_IBL
TK:4991:24,Puerto Rico,IBL 24-042,2024-03-22T03:00:00Z,"ANIMAL # 20
PLANT# 40",9.07184,18.14368,18.23196,-65.62191,IBL,,passenger,NA,Animal_IBL
TK:7265:24,Florida,IBL 24-042,2024-06-26T03:00:00Z,NA,NA,NA,24.54973,-81.78064,IBL,,passenger,NA,Animal_IBL
TK:4967:24,Puerto Rico,IBL 24-041,2024-03-20T03:00:00Z,"Animal# 1
Plant# 1",0.453592,0.453592,17.95781,-67.21223,IBL,,passenger,NA,Animal_IBL
TK:6976:24,Florida,IBL 24-041,2024-06-16T05:00:00Z,NA,NA,NA,26.75501,-80.03619,IBL,,passenger,NA,Animal_IBL
TK:4934:24,Puerto Rico,IBL 24-040,2024-03-19T03:00:00Z,"ANIMAL #2
PLANT #3",0.907184,1.360776,18.49032,-66.60667,IBL,,passenger,NA,Animal_IBL
TK:6975:24,Florida,IBL 24-040,2024-06-10T18:00:00Z,NA,NA,NA,24.54695,-81.78795,IBL,,passenger,NA,Animal_IBL
TK:4709:24,Puerto Rico,IBL 24-039,2024-03-10T03:00:00Z,"ANIMAL #6
PLANT #10",2.721552,4.53592,18.40146,-67.18526,IBL,,passenger,NA,Animal_IBL
TK:6974:24,Florida,IBL 24-039,2024-06-05T23:30:00Z,NA,NA,NA,25.36846,-80.2355,IBL,,passenger,NA,Animal_IBL
TK:4369:24,Puerto Rico,IBL 24-038,2024-02-21T02:00:00Z,"ANIMAL #25
PLANT #5",11.3398,2.26796,18.45804,-65.99002,IBL,,passenger,NA,Animal_IBL
TK:6973:24,Florida,IBL 24-038,2024-05-26T21:20:00Z,NA,NA,NA,26.2582,-80.0803,IBL,,passenger,NA,Animal_IBL
TK:6971:24,Florida,IBL 24-037,2024-05-21T00:00:00Z,NA,NA,NA,25.30935,-80.29615,IBL,,passenger,NA,Animal_IBL
TK:4362:24,Puerto Rico,IBL 24-037,2024-02-20T02:00:00Z,"Animal# 3
Plant# 0.7",1.360776,0.3175144,18.37423,-67.24492,IBL,,passenger,NA,Animal_IBL
TK:4329:24,Puerto Rico,IBL 24-036,2024-02-16T02:00:00Z,"ANIMAL #0
PLANT #0",0,0,18.23243,-65.62168,IBL,,passenger,NA,Animal_IBL
TK:6970:24,Florida,IBL 24-036,2024-05-21T02:45:00Z,NA,NA,NA,26.54273,-80.04496,IBL,,passenger,NA,Animal_IBL
TK:4308:24,Puerto Rico,IBL 24-035,2024-02-15T09:00:00Z,"Animal # 5.00
Plant # 2.60",2.26796,1.1793392,17.98953,-67.21358,IBL,,passenger,NA,Animal_IBL
TK:6968:24,Florida,IBL 24-035,2024-05-18T06:45:00Z,NA,NA,NA,25.18222,-80.22224,IBL,,passenger,NA,Animal_IBL
TK:4104:24,Puerto Rico,IBL 24-034,2024-02-06T09:00:00Z,"Animal # 0.00
Plant # 0.10",0,0.0453592,18.48861,-67.16225,IBL,,passenger,NA,Animal_IBL
TK:6967:24,Florida,IBL 24-034,2024-05-13T03:20:00Z,NA,NA,NA,25.17405,-80.3687,IBL,,passenger,NA,Animal_IBL
TK:4057:24,Puerto Rico,IBL 24-033,2024-02-05T02:00:00Z,"Animal# 14.0
Plant# 5.0",6.350288,2.26796,18.23196,-65.62192,IBL,,passenger,NA,Animal_IBL
TK:6966:24,Florida,IBL 24-033,2024-05-09T16:45:00Z,NA,NA,NA,25.90657,-80.12133,IBL,,passenger,NA,Animal_IBL
TK:6573:24,Florida,IBL 24-032,2024-05-04T07:00:00Z,NA,NA,NA,26.01676,-80.1146,IBL,,passenger,NA,Animal_IBL
TK:3927:24,Puerto Rico,IBL 24-032,2024-02-01T02:00:00Z,"Animal: 2.0 pounds
Plant: 0.3 pounds",0.907184,0.1360776,18.4922,-66.97414,IBL,,passenger,NA,Animal_IBL
TK:3922:24,Puerto Rico,IBL 24-031,2024-01-31T02:00:00Z,"Animal: 2.0 pounds
Plant 0.1 pounds",0.907184,0.0453592,18.48367,-66.9019,IBL,,passenger,NA,Animal_IBL
TK:6572:24,Florida,IBL 24-031,2024-04-23T13:15:00Z,NA,NA,NA,25.06775,-80.46493,IBL,,passenger,NA,Animal_IBL
TK:3767:24,Puerto Rico,IBL 24-030,2024-01-30T02:00:00Z,"Animal #12 pounds
Plant # 11 pounds",5.443104,4.9895119999999995,18.48843,-66.42319,IBL,,passenger,NA,Animal_IBL
TK:6570:24,Florida,IBL 24-030,2024-04-20T14:00:00Z,NA,NA,NA,24.54941,-82.15903,IBL,,passenger,NA,Animal_IBL
TK:3766:24,Puerto Rico,IBL 24-029,2024-01-30T09:00:00Z,"Animal # 0.00
Plant # 0.00",0,0,18.43283,-67.15547,IBL,,passenger,NA,Animal_IBL
TK:6569:24,Florida,IBL 24-029,2024-04-10T06:00:00Z,NA,NA,NA,24.62689,-82.87279,IBL,,passenger,NA,Animal_IBL
TK:3735:24,Puerto Rico,IBL 24-028,2024-01-30T02:00:00Z,"Animal# 5.6
Plant# 1",2.5401152,0.453592,18.51359,-67.04652,IBL,,passenger,NA,Animal_IBL
TK:6568:24,Florida,IBL 24-028,2024-04-04T07:30:00Z,NA,NA,NA,25.00844,-80.51552,IBL,,passenger,NA,Animal_IBL
TK:3414:24,Puerto Rico,IBL 24-027,2024-01-16T02:00:00Z,"Animal# 1.7
Plant# 0",0.7711064,0,18.49145,-66.61584,IBL,,passenger,NA,Animal_IBL
TK:6528:24,Florida,IBL 24-027,2024-01-15T10:25:00Z,NA,NA,NA,25.44173,-80.19995,IBL,,passenger,NA,Animal_IBL
TK:3297:24,Puerto Rico,IBL 24-026,2024-01-11T02:00:00Z,"Animal: 2.0 pounds
Plants: 4.0 pounds",0.907184,1.814368,18.01833,-67.17006,IBL,,passenger,NA,Animal_IBL
TK:5259:24,Florida,IBL 24-026,2024-03-30T19:00:00Z,NA,NA,NA,26.72755,-80.11851,IBL,,passenger,NA,Animal_IBL
TK:2986:24,Puerto Rico,IBL 24-025,2024-01-02T02:00:00Z,"Animal # 8 pounds
Plant # 2 pounds",3.628736,0.907184,18.48091,-67.16716,IBL,,passenger,NA,Animal_IBL
TK:5258:24,Florida,IBL 24-025,2024-03-18T20:21:00Z,NA,NA,NA,24.77285,-80.90784,IBL,,passenger,NA,Animal_IBL
TK:2970:24,Puerto Rico,IBL 24-024,2024-01-01T02:00:00Z,"Animal# 1
Plant# 0.5",0.453592,0.226796,18.51197,-67.10727,IBL,,passenger,NA,Animal_IBL
TK:5257:24,Florida,IBL 24-024,2024-03-02T19:30:00Z,NA,NA,NA,26.97011,-80.08079,IBL,,passenger,NA,Animal_IBL
TK:5256:24,Florida,IBL 24-023,2024-02-29T06:30:00Z,NA,NA,NA,24.81457,-80.82056,IBL,,passenger,NA,Animal_IBL
TK:2969:24,Puerto Rico,IBL 24-023,2023-12-31T02:00:00Z,"ANIMAL #8
PLANT #2",3.628736,0.907184,18.45283,-66.17511,IBL,,passenger,NA,Animal_IBL
TK:2967:24,Puerto Rico,IBL 24-022,2023-12-29T02:00:00Z,"Animal# 16.5
Plant# 0.5",7.484268,0.226796,18.0129,-67.17034,IBL,,passenger,NA,Animal_IBL
TK:4395:24,Florida,IBL 24-022,2024-02-16T20:10:00Z,NA,NA,NA,25.74074,-80.17116,IBL,,passenger,NA,Animal_IBL
TK:4394:24,Florida,IBL 24-021,2024-02-03T09:35:00Z,NA,NA,NA,27.46558,-80.30596,IBL,,passenger,NA,Animal_IBL
TK:2909:24,Puerto Rico,IBL 24-021,2023-12-29T02:00:00Z,"Animal# 0.0 pounds
Plant# 0.0 pounds",0,0,17.97179,-66.92694,IBL,,passenger,NA,Animal_IBL
TK:4393:24,Florida,IBL 24-020,2024-02-01T23:45:00Z,NA,NA,NA,25.2894,-80.379,IBL,,passenger,NA,Animal_IBL
TK:2844:24,Puerto Rico,IBL 24-020,2023-12-28T02:00:00Z,"Animal# 24.2
Plant# 1",10.9769264,0.453592,17.95176,-67.13414,IBL,,passenger,NA,Animal_IBL
TK:2839:24,Puerto Rico,IBL 24-019,2023-12-28T02:00:00Z,"Animal #: 2.00
Plants #: 0.00",0.907184,0,18.45325,-65.96719,IBL,,passenger,NA,Animal_IBL
TK:3628:24,Florida,IBL 24-019,2024-01-19T21:01:00Z,NA,NA,NA,25.17249,-80.37388,IBL,,passenger,NA,Animal_IBL
TK:2788:24,Puerto Rico,IBL 24-018,2023-12-25T02:00:00Z,"Animal# 0
Plant# 0",0,0,18.41984,-65.82397,IBL,,passenger,NA,Animal_IBL
TK:3627:24,Florida,IBL 24-018,2024-01-16T09:25:00Z,NA,NA,NA,25.04824,-80.45968,IBL,,passenger,NA,Animal_IBL
TK:2429:24,Puerto Rico,IBL 24-017,2023-12-08T02:00:00Z,"Animal# 7.3
Plant# 1",3.3112216,0.453592,18.01302,-67.17053,IBL,,passenger,NA,Animal_IBL
TK:3626:24,Florida,IBL 24-017,2024-01-10T18:25:00Z,NA,NA,NA,25.89899,-80.1215,IBL,,passenger,NA,Animal_IBL
TK:2272:24,Puerto Rico,IBL 24-016,2023-12-05T02:00:00Z,"Animal 0.0 pounds
Plant 0.0 pounds",0,0,18.08536,-67.94367,IBL,,passenger,NA,Animal_IBL
TK:3625:24,Florida,IBL 24-016,2024-01-10T20:35:00Z,NA,NA,NA,24.5975,-82.12664,IBL,,passenger,NA,Animal_IBL
TK:3624:24,Florida,IBL 24-015,2024-01-02T14:45:00Z,NA,NA,NA,24.5975,-82.12664,IBL,,passenger,NA,Animal_IBL
TK:2246:24,Puerto Rico,IBL 24-015,2023-12-01T02:00:00Z,"Animal# 4.5
Plant# 0",2.041164,0,18.01302,-67.17053,IBL,,passenger,NA,Animal_IBL
TK:2231:24,Puerto Rico,IBL 24-014,2023-12-01T02:00:00Z,"Animal: 0.0 pounds
plant: 0.0 pounds",0,0,18.50536,-67.14183,IBL,,passenger,NA,Animal_IBL
TK:3351:24,Florida,IBL 24-014,2023-12-31T02:32:00Z,NA,NA,NA,25.1724,-80.37357,IBL,,passenger,NA,Animal_IBL
TK:2210:24,Puerto Rico,IBL 24-013,2023-11-29T02:00:00Z,"Animal: 1.0 pounds
Plants: 0.0 pounds",0.453592,0,17.96529,-67.21397,IBL,,passenger,NA,Animal_IBL
TK:3350:24,Florida,IBL 24-013,2023-12-29T22:30:00Z,NA,NA,NA,26.09256,-80.10764,IBL,,passenger,NA,Animal_IBL
TK:3349:24,Florida,IBL 24-012,2023-12-04T07:00:00Z,NA,NA,NA,25.66629,-80.15592,IBL,,passenger,NA,Animal_IBL
TK:1655:24,Puerto Rico,IBL 24-012,2023-11-03T03:00:00Z,"Animal# 0
Plant# 0",0,0,18.47082,-67.16866,IBL,,passenger,NA,Animal_IBL
TK:1433:24,Puerto Rico,IBL 24-011,2023-10-24T03:00:00Z,"ANIMAL #0
PLANT #0",0,0,18.47348,-66.73478,IBL,,passenger,NA,Animal_IBL
TK:3348:24,Florida,IBL 24-011,2023-12-01T18:00:00Z,NA,NA,NA,25.8992,-80.12487,IBL,,passenger,NA,Animal_IBL
TK:3347:24,Florida,IBL 24-010,2023-11-28T23:45:00Z,NA,NA,NA,24.52178,-81.96297,IBL,,passenger,NA,Animal_IBL
TK:1344:24,Puerto Rico,IBL 24-010,2023-10-23T03:00:00Z,"ANIMAL #0
PLANT #5",0,2.26796,18.48675,-66.43638,IBL,,passenger,NA,Animal_IBL
TK:1331:24,Puerto Rico,IBL 24-009,2023-10-21T03:00:00Z,"ANIMAL #20
PLANT# 7",9.07184,3.175144,18.47761,-66.2744,IBL,,passenger,NA,Animal_IBL
TK:3345:24,Florida,IBL 24-009,2023-11-20T16:30:00Z,NA,NA,NA,26.05946,-80.12786,IBL,,passenger,NA,Animal_IBL
TK:3344:24,Florida,IBL 24-008,2023-11-14T13:15:00Z,NA,NA,NA,25.9255,-80.1208,IBL,,passenger,NA,Animal_IBL
TK:1200:24,Puerto Rico,IBL 24-008,2023-10-16T03:00:00Z,"ANIMAL #3
PLANT #2",1.360776,0.907184,18.51589,-67.09145,IBL,,passenger,NA,Animal_IBL
TK:1198:24,Puerto Rico,IBL 24-007,2023-10-14T19:00:00Z,"Animal # 0.5
Plant # 0.5",0.226796,0.226796,18.35525,-67.26899,IBL,,passenger,NA,Animal_IBL
TK:3343:24,Florida,IBL 24-007,2023-11-08T12:00:00Z,NA,NA,NA,25.90306,-80.12305,IBL,,passenger,NA,Animal_IBL
TK:1151:24,Puerto Rico,IBL 24-006,2023-10-12T03:00:00Z,"Animal: 4.00 pounds
Plant: 1.5 pounds",1.814368,0.680388,17.96806,-65.98171,IBL,,passenger,NA,Animal_IBL
TK:3342:24,Florida,IBL 24-006,2023-10-22T21:30:00Z,NA,NA,NA,25.21801,-80.42744,IBL,,passenger,NA,Animal_IBL
TK:1117:24,Puerto Rico,IBL 24-005,2023-10-07T09:00:00Z,"Animal # 0.00
Plant # 0.00",0,0,18.09385,-67.19616,IBL,,passenger,NA,Animal_IBL
TK:3341:24,Florida,IBL 24-005,2023-10-21T01:30:00Z,NA,NA,NA,24.93774,-80.61239,IBL,,passenger,NA,Animal_IBL
TK:1111:24,Puerto Rico,IBL 24-004,2023-10-06T03:00:00Z,"Animal# 17.2
Plant# 0",7.8017824,0,18.51074,-67.12834,IBL,,passenger,NA,Animal_IBL
TK:3340:24,Florida,IBL 24-004,2023-10-20T07:00:00Z,NA,NA,NA,25.84765,-80.16805,IBL,,passenger,NA,Animal_IBL
TK:1110:24,Puerto Rico,IBL 24-003,2023-10-08T03:00:00Z,"ANIMAL# 28
PLANT# 10",12.700576,4.53592,18.45808,-65.98995,IBL,,passenger,NA,Animal_IBL
TK:1075:24,Puerto Rico,IBL 24-002,2023-10-04T03:00:00Z,"Animal# 7
Plant# 0.8",3.175144,0.3628736,18.4785,-66.75366,IBL,,passenger,NA,Animal_IBL
TK:3338:24,Florida,IBL 24-002,2023-10-18T09:20:00Z,NA,NA,NA,25.9072,-80.1251,IBL,,passenger,NA,Animal_IBL
TK:1053:24,Puerto Rico,IBL 24-001,2023-10-03T03:00:00Z,"Animal 0.0 pounds
Plant 10.0 pounds",0,4.53592,17.9542,-67.14461,IBL,,passenger,NA,Animal_IBL
TK:3216:24,Florida,IBL 24-001,2023-10-11T08:30:00Z,NA,NA,NA,26.55514,-80.0413,IBL,,passenger,NA,Animal_IBL
TK:1205:24,Florida,IBL 23-252,2023-09-10T04:12:00Z,NA,NA,NA,25.17164,-80.37418,IBL,,passenger,NA,Animal_IBL
TK:1204:24,Florida,IBL 23-251,2023-09-09T06:45:00Z,NA,NA,NA,24.63227,-82.9204,IBL,,passenger,NA,Animal_IBL
TK:1203:24,Florida,IBL 23-250,2023-09-07T06:30:00Z,NA,NA,NA,25.11353,-80.42312,IBL,,passenger,NA,Animal_IBL
TK:1202:24,Florida,IBL 23-249,2023-09-01T21:45:00Z,NA,NA,NA,26.83969,-80.04431,IBL,,passenger,NA,Animal_IBL
TK:1118:24,Florida,IBL 23-248,2023-08-25T08:20:00Z,NA,NA,NA,26.89964,-80.05793,IBL,,passenger,NA,Animal_IBL
TK:1116:24,Florida,IBL 23-247,2023-08-22T07:00:00Z,NA,NA,NA,24.62355,-81.40176,IBL,,passenger,NA,Animal_IBL
TK:8392:23,Florida,IBL 23-246,2023-08-05T07:30:00Z,NA,NA,NA,25.90196,-80.12464,IBL,,passenger,NA,Animal_IBL
TK:8261:23,Florida,IBL 23-245,2023-07-22T19:00:00Z,NA,NA,NA,25.72489,-80.15661,IBL,,passenger,NA,Animal_IBL
TK:8260:23,Florida,IBL 23-244,2023-07-05T22:15:00Z,NA,NA,NA,24.8039,-80.84806,IBL,,passenger,NA,Animal_IBL
TK:8259:23,Florida,IBL 23-243,2023-07-04T03:18:00Z,NA,NA,NA,24.71337,-81.07843,IBL,,passenger,NA,Animal_IBL
TK:8258:23,Florida,IBL 23-242,2023-07-02T06:45:00Z,NA,NA,NA,24.54455,-81.803,IBL,,passenger,NA,Animal_IBL
TK:8256:23,Florida,IBL 23-241,2023-06-24T13:17:00Z,4 GOTAWAYS,NA,NA,26.77933,-80.05139,IBL,,passenger,NA,Animal_IBL
TK:7945:23,Florida,IBL 23-240,2023-06-25T07:00:00Z,NA,NA,NA,25.7922,-80.1348,IBL,,passenger,NA,Animal_IBL
TK:7372:23,Florida,IBL 23-239,2023-05-29T17:30:00Z,NA,NA,NA,24.62522,-82.86361,IBL,,passenger,NA,Animal_IBL
TK:7371:23,Florida,IBL 23-238,2023-05-28T12:20:00Z,NA,NA,NA,26.2573,-80.0924,IBL,,passenger,NA,Animal_IBL
TK:7370:23,Florida,IBL 23-237,2023-05-20T11:42:00Z,NA,NA,NA,25.23775,-80.31547,IBL,,passenger,NA,Animal_IBL
TK:7369:23,Florida,IBL 23-236,2023-05-18T04:15:00Z,NA,NA,NA,24.91331,-80.63521,IBL,,passenger,NA,Animal_IBL
TK:6835:23,Florida,IBL 23-235,2023-05-15T12:30:00Z,Chinese migrants,NA,NA,25.9312,-80.12099,IBL,,passenger,NA,Animal_IBL
TK:6780:23,Florida,IBL 23-234,2023-05-13T04:45:00Z,NA,NA,NA,24.57953,-81.65267,IBL,,passenger,NA,Animal_IBL
TK:6779:23,Florida,IBL 23-233,2023-05-11T00:00:00Z,NA,NA,NA,25.90268,-80.12601,IBL,,passenger,NA,Animal_IBL
TK:6778:23,Florida,IBL 23-232,2023-05-10T21:00:00Z,NA,NA,NA,25.90268,-80.12601,IBL,,passenger,NA,Animal_IBL
TK:6777:23,Florida,IBL 23-231,2023-05-10T09:30:00Z,NA,NA,NA,26.54646,-80.0531,IBL,,passenger,NA,Animal_IBL
TK:6762:23,Florida,IBL 23-230,2023-05-04T06:30:00Z,Jet ski - 16 migrants got away.,NA,NA,26.33921,-80.0728,IBL,,passenger,NA,Animal_IBL
TK:6328:23,Florida,IBL 23-229,2023-04-28T02:00:00Z,NA,NA,NA,25.7976,-80.1254,IBL,,passenger,NA,Animal_IBL
TK:6326:23,Florida,IBL 23-228,2023-04-27T22:45:00Z,NA,NA,NA,25.90065,-80.12117,IBL,,passenger,NA,Animal_IBL
TK:6308:23,Florida,IBL 23-227,2023-04-25T13:50:00Z,NA,NA,NA,24.6312,-82.9217,IBL,,passenger,NA,Animal_IBL
TK:6305:23,Florida,IBL 23-226,2023-04-21T06:10:00Z,NA,NA,NA,24.5653,-81.7987,IBL,,passenger,NA,Animal_IBL
TK:6105:23,Florida,IBL 23-225,2023-04-15T14:30:00Z,NA,NA,NA,26.8349,-80.0578,IBL,,passenger,NA,Animal_IBL
TK:5866:23,Florida,IBL 23-224,2023-03-05T18:46:00Z,NA,NA,NA,25.90343,-80.12563,IBL,,passenger,NA,Animal_IBL
TK:5865:23,Florida,IBL 23-223,2023-03-04T06:00:00Z,NA,NA,NA,24.6275,-82.8723,IBL,,passenger,NA,Animal_IBL
TK:5864:23,Florida,IBL 23-222,2023-02-28T07:00:00Z,NA,NA,NA,26.09254,-80.10601,IBL,,passenger,NA,Animal_IBL
TK:5863:23,Florida,IBL 23-221,2023-02-14T02:00:00Z,NA,NA,NA,26.2589,-80.0853,IBL,,passenger,NA,Animal_IBL
TK:5862:23,Florida,IBL 23-220,2023-02-14T17:30:00Z,NA,NA,NA,26.83632,-80.05725,IBL,,passenger,NA,Animal_IBL
TK:5861:23,Florida,IBL 23-219,2023-02-03T14:00:00Z,NA,NA,NA,26.94934,-80.07391,IBL,,passenger,NA,Animal_IBL
TK:5860:23,Florida,IBL 23-218,2023-02-02T00:20:00Z,NA,NA,NA,24.5653,-81.7986,IBL,,passenger,NA,Animal_IBL
TK:5859:23,Florida,IBL 23-217,2023-02-01T04:30:00Z,NA,NA,NA,25.90292,-80.12506,IBL,,passenger,NA,Animal_IBL
TK:5858:23,Florida,IBL 23-216,2023-01-30T17:00:00Z,NA,NA,NA,25.90135,-80.12178,IBL,,passenger,NA,Animal_IBL
TK:5857:23,Florida,IBL 23-215,2023-01-11T17:00:00Z,NA,NA,NA,24.5754,-82.1033,IBL,,passenger,NA,Animal_IBL
TK:5856:23,Florida,IBL 23-214,2023-01-10T17:00:00Z,NA,NA,NA,26.11138,-80.1058,IBL,,passenger,NA,Animal_IBL
TK:5855:23,Florida,IBL 23-213,2023-01-02T20:00:00Z,NA,NA,NA,24.771,-80.912,IBL,,passenger,NA,Animal_IBL
TK:5854:23,Florida,IBL 23-212,2022-12-26T21:20:00Z,NA,NA,NA,26.77549,-80.0308,IBL,,passenger,NA,Animal_IBL
TK:5853:23,Florida,IBL 23-211,2022-12-18T22:50:00Z,NA,NA,NA,26.2673,-80.0836,IBL,,passenger,NA,Animal_IBL
TK:5852:23,Florida,IBL 23-210,2022-12-18T22:30:00Z,NA,NA,NA,25.68302,-80.15523,IBL,,passenger,NA,Animal_IBL
TK:5851:23,Florida,IBL 23-209,2022-12-15T07:30:00Z,NA,NA,NA,24.7131,-81.0904,IBL,,passenger,NA,Animal_IBL
TK:5850:23,Florida,IBL 23-208,2022-12-14T13:20:00Z,NA,NA,NA,26.7711,-80.0456,IBL,,passenger,NA,Animal_IBL
TK:5849:23,Florida,IBL 23-207,2022-12-09T07:00:00Z,NA,NA,NA,26.6197,-80.0377,IBL,,passenger,NA,Animal_IBL
TK:5848:23,Florida,IBL 23-206,2022-12-06T13:30:00Z,NA,NA,NA,24.81558,-80.82335,IBL,,passenger,NA,Animal_IBL
TK:5847:23,Florida,IBL 23-205,2022-11-25T19:30:00Z,NA,NA,NA,26.0141,-80.1156,IBL,,passenger,NA,Animal_IBL
TK:5846:23,Florida,IBL 23-204,2022-11-25T08:45:00Z,NA,NA,NA,26.0039,-80.1158,IBL,,passenger,NA,Animal_IBL
TK:5845:23,Florida,IBL 23-203,2022-11-24T23:30:00Z,NA,NA,NA,27.8537,-80.4552,IBL,,passenger,NA,Animal_IBL
TK:5844:23,Florida,IBL 23-202,2022-11-17T04:50:00Z,NA,NA,NA,27.4612,-80.3158,IBL,,passenger,NA,Animal_IBL
TK:5843:23,Florida,IBL 23-201,2022-11-16T06:15:00Z,NA,NA,NA,24.5653,-81.7986,IBL,,passenger,NA,Animal_IBL
TK:5842:23,Florida,IBL 23-200,2022-11-03T18:15:00Z,NA,NA,NA,25.8506,-80.1187,IBL,,passenger,NA,Animal_IBL
TK:5841:23,Florida,IBL 23-199,2022-10-29T03:00:00Z,NA,NA,NA,24.5888,-82.1162,IBL,,passenger,NA,Animal_IBL
TK:5840:23,Florida,IBL 23-198,2022-10-28T07:30:00Z,NA,NA,NA,24.6142,-82.8739,IBL,,passenger,NA,Animal_IBL
TK:5839:23,Florida,IBL 23-197,2022-10-23T22:00:00Z,NA,NA,NA,25.9338,-80.1201,IBL,,passenger,NA,Animal_IBL
TK:5838:23,Florida,IBL 23-196,2022-10-20T05:00:00Z,NA,NA,NA,24.7725,-80.9338,IBL,,passenger,NA,Animal_IBL
TK:5837:23,Florida,IBL 23-195,2022-10-17T23:30:00Z,NA,NA,NA,24.5626,-81.7993,IBL,,passenger,NA,Animal_IBL
TK:5836:23,Florida,IBL 23-194,2022-10-17T23:30:00Z,NA,NA,NA,24.5625,-81.7993,IBL,,passenger,NA,Animal_IBL
TK:5834:23,Florida,IBL 23-193,2022-10-17T23:30:00Z,NA,NA,NA,24.5626,-81.7993,IBL,,passenger,NA,Animal_IBL
TK:5833:23,Florida,IBL 23-192,2022-10-18T10:00:00Z,NA,NA,NA,24.5626,-81.7993,IBL,,passenger,NA,Animal_IBL
TK:5832:23,Florida,IBL 23-191,2022-10-18T07:00:00Z,NA,NA,NA,24.6282,-82.8739,IBL,,passenger,NA,Animal_IBL
TK:5831:23,Florida,IBL 23-190,2022-10-18T06:50:00Z,NA,NA,NA,24.7237,-81.0811,IBL,,passenger,NA,Animal_IBL
TK:5830:23,Florida,IBL 23-189,2022-10-18T06:30:00Z,NA,NA,NA,24.7237,-81.0811,IBL,,passenger,NA,Animal_IBL
TK:5829:23,Florida,IBL 23-188,2022-10-18T00:50:00Z,NA,NA,NA,24.5544,-81.7489,IBL,,passenger,NA,Animal_IBL
TK:5827:23,Florida,IBL 23-186,2022-10-17T23:30:00Z,NA,NA,NA,24.6333,-82.9187,IBL,,passenger,NA,Animal_IBL
TK:5826:23,Florida,IBL 23-185,2022-10-17T15:30:00Z,NA,NA,NA,24.5626,-81.7993,IBL,,passenger,NA,Animal_IBL
TK:5825:23,Florida,IBL 23-184,2022-10-17T13:00:00Z,NA,NA,NA,24.5626,-81.7993,IBL,,passenger,NA,Animal_IBL
TK:5824:23,Florida,IBL 23-183,2022-10-17T07:45:00Z,NA,NA,NA,24.5461,-81.8685,IBL,,passenger,NA,Animal_IBL
TK:5823:23,Florida,IBL 23-182,2022-10-17T07:00:00Z,NA,NA,NA,24.5626,-81.7993,IBL,,passenger,NA,Animal_IBL
TK:5822:23,Florida,IBL 23-181,2022-10-17T06:00:00Z,NA,NA,NA,24.5544,-81.7489,IBL,,passenger,NA,Animal_IBL
